index,array,name,base_name,status,reason,source,parfile,timfile,policy,priority_order
0,NG15,J1853+1303,J1853+1303,retained,retained by priority-dedup development policy,feather,,,ng15_priority_deduplicated_reduced_3array_development,NG15>EPTA>PPTA
1,NG15,J1903+0327,J1903+0327,retained,retained by priority-dedup development policy,feather,,,ng15_priority_deduplicated_reduced_3array_development,NG15>EPTA>PPTA
2,NG15,J2124-3358,J2124-3358,retained,retained by priority-dedup development policy,feather,,,ng15_priority_deduplicated_reduced_3array_development,NG15>EPTA>PPTA
3,NG15,J0030+0451,J0030+0451,retained,retained by priority-dedup development policy,feather,,,ng15_priority_deduplicated_reduced_3array_development,NG15>EPTA>PPTA
4,NG15,J2214+3000,J2214+3000,retained,retained by priority-dedup development policy,feather,,,ng15_priority_deduplicated_reduced_3array_development,NG15>EPTA>PPTA
5,NG15,J1713+0747,J1713+0747,retained,retained by priority-dedup development policy,feather,,,ng15_priority_deduplicated_reduced_3array_development,NG15>EPTA>PPTA
6,NG15,J1012-4235,J1012-4235,retained,retained by priority-dedup development policy,feather,,,ng15_priority_deduplicated_reduced_3array_development,NG15>EPTA>PPTA
7,NG15,J1600-3053,J1600-3053,retained,retained by priority-dedup development policy,feather,,,ng15_priority_deduplicated_reduced_3array_development,NG15>EPTA>PPTA
8,NG15,J1453+1902,J1453+1902,retained,retained by priority-dedup development policy,feather,,,ng15_priority_deduplicated_reduced_3array_development,NG15>EPTA>PPTA
9,NG15,J1744-1134,J1744-1134,retained,retained by priority-dedup development policy,feather,,,ng15_priority_deduplicated_reduced_3array_development,NG15>EPTA>PPTA
10,NG15,J0509+0856,J0509+0856,retained,retained by priority-dedup development policy,feather,,,ng15_priority_deduplicated_reduced_3array_development,NG15>EPTA>PPTA
11,NG15,J2017+0603,J2017+0603,retained,retained by priority-dedup development policy,feather,,,ng15_priority_deduplicated_reduced_3array_development,NG15>EPTA>PPTA
12,NG15,J0740+6620,J0740+6620,retained,retained by priority-dedup development policy,feather,,,ng15_priority_deduplicated_reduced_3array_development,NG15>EPTA>PPTA
13,NG15,J2234+0611,J2234+0611,retained,retained by priority-dedup development policy,feather,,,ng15_priority_deduplicated_reduced_3array_development,NG15>EPTA>PPTA
14,NG15,J1843-1113,J1843-1113,retained,retained by priority-dedup development policy,feather,,,ng15_priority_deduplicated_reduced_3array_development,NG15>EPTA>PPTA
15,NG15,J1614-2230,J1614-2230,retained,retained by priority-dedup development policy,feather,,,ng15_priority_deduplicated_reduced_3array_development,NG15>EPTA>PPTA
16,NG15,J1730-2304,J1730-2304,retained,retained by priority-dedup development policy,feather,,,ng15_priority_deduplicated_reduced_3array_development,NG15>EPTA>PPTA
17,NG15,J0645+5158,J0645+5158,retained,retained by priority-dedup development policy,feather,,,ng15_priority_deduplicated_reduced_3array_development,NG15>EPTA>PPTA
18,NG15,B1855+09,B1855+09,retained,retained by priority-dedup development policy,feather,,,ng15_priority_deduplicated_reduced_3array_development,NG15>EPTA>PPTA
19,NG15,J0023+0923,J0023+0923,retained,retained by priority-dedup development policy,feather,,,ng15_priority_deduplicated_reduced_3array_development,NG15>EPTA>PPTA
20,NG15,J1024-0719,J1024-0719,retained,retained by priority-dedup development policy,feather,,,ng15_priority_deduplicated_reduced_3array_development,NG15>EPTA>PPTA
21,NG15,J0406+3039,J0406+3039,retained,retained by priority-dedup development policy,feather,,,ng15_priority_deduplicated_reduced_3array_development,NG15>EPTA>PPTA
22,NG15,J2229+2643,J2229+2643,retained,retained by priority-dedup development policy,feather,,,ng15_priority_deduplicated_reduced_3array_development,NG15>EPTA>PPTA
23,NG15,J1909-3744,J1909-3744,retained,retained by priority-dedup development policy,feather,,,ng15_priority_deduplicated_reduced_3array_development,NG15>EPTA>PPTA
24,NG15,J0557+1551,J0557+1551,retained,retained by priority-dedup development policy,feather,,,ng15_priority_deduplicated_reduced_3array_development,NG15>EPTA>PPTA
25,NG15,J0437-4715,J0437-4715,retained,retained by priority-dedup development policy,feather,,,ng15_priority_deduplicated_reduced_3array_development,NG15>EPTA>PPTA
26,NG15,J0340+4130,J0340+4130,retained,retained by priority-dedup development policy,feather,,,ng15_priority_deduplicated_reduced_3array_development,NG15>EPTA>PPTA
27,NG15,J1832-0836,J1832-0836,retained,retained by priority-dedup development policy,feather,,,ng15_priority_deduplicated_reduced_3array_development,NG15>EPTA>PPTA
28,NG15,J0931-1902,J0931-1902,retained,retained by priority-dedup development policy,feather,,,ng15_priority_deduplicated_reduced_3array_development,NG15>EPTA>PPTA
29,NG15,J1923+2515,J1923+2515,retained,retained by priority-dedup development policy,feather,,,ng15_priority_deduplicated_reduced_3array_development,NG15>EPTA>PPTA
30,NG15,J1012+5307,J1012+5307,retained,retained by priority-dedup development policy,feather,,,ng15_priority_deduplicated_reduced_3array_development,NG15>EPTA>PPTA
31,NG15,J0605+3757,J0605+3757,retained,retained by priority-dedup development policy,feather,,,ng15_priority_deduplicated_reduced_3array_development,NG15>EPTA>PPTA
32,NG15,J1751-2857,J1751-2857,retained,retained by priority-dedup development policy,feather,,,ng15_priority_deduplicated_reduced_3array_development,NG15>EPTA>PPTA
