model,tier,n_qmc,lnZ_qmc_direct,lnZ_qmc_ti,loglike_min,loglike_max,status,error
Cosmic-Superstrings,hybrid3,8192,-154.4176334051279,-154.42913216665343,-910.3473641625203,-149.5696472194303,pass,
SIGW-Delta,hybrid3,8192,-154.59144097024765,-154.60384203974058,-1044.25910806239,-149.80487602181026,pass,
PBH-SIGW-Analytic,hybrid3,8192,-154.65488574889687,-154.66589649392688,-925.9216319002265,-148.90269471200952,pass,
