bin,n_nulls,real_hd_corr,null_hd_corr_mean,null_hd_corr_std,real_hd_corr_z,real_abs_hd_corr_percentile,null_l2_mean,null_l2_std,real_l2_z,null_max_abs_mean,null_max_abs_std
all,128,-0.29717063089782275,0.016284254196153272,0.22590105129697424,-1.3875760351460324,0.8046875,0.02159715578407012,0.004890683279413545,0.917609922347507,0.0018691691904740742,0.0003901899872159252
z_0p1_0p2,128,0.2333646708261307,-0.0648774310917455,0.2556510835645282,1.1665982313061376,0.5703125,0.02131057067154958,0.005095917839468033,0.9435380609202529,0.0018671777779300366,0.0003516120837107481
z_0p2_0p3,128,-0.27750421066006864,0.016966690493017775,0.2517670200069814,-1.16961666045426,0.6640625,0.021393894422387667,0.0041731764324659535,0.5027394675317707,0.0018500896020057697,0.00031240730685530886
z_0p3_0p4,128,-0.2983096368630828,-0.008838090565257355,0.24092057070317777,-1.2015227485678843,0.71875,0.021353446561384888,0.004976287134477528,1.2411150690594592,0.0018794656400315162,0.0004116220899260053
z_0p1_0p4,128,-0.29717063089782275,-0.014756399536716163,0.23364663424252075,-1.2087237305030725,0.75,0.021214838395213948,0.005137202616081305,0.9479978223673805,0.0019106929927054294,0.0004112192179405191
