catalog,bin,n_nulls,real_hd_corr,null_hd_corr_mean,null_hd_corr_std,real_hd_corr_z,real_abs_hd_corr_percentile,real_l2_z
twompz,all,128,0.42899460982405696,-0.01901354972221393,0.212460639284532,2.1086642733211796,0.9765625,95.27365912529658
twompz,z_0_0p1,128,0.4940647460614628,-0.01615112552089787,0.22370758343014444,2.2807267583831465,1.0,76.58364498732186
twompz,z_0p1_0p2,128,0.30905487798506104,-0.04171662098225644,0.2518631448946286,1.3927067380742386,0.71875,98.86539805688963
twompz,z_0_0p2,128,0.4357490886837836,-0.026818284473608508,0.22143316989737447,2.0889705610581006,0.953125,102.14514820109305
twompz,z_0p2_0p3,128,0.18450321404061784,-0.010247605779038703,0.21851368168199864,0.8912522928567741,0.5234375,47.53192550864296
wisexscos,all,128,0.16745977289514513,0.00626781421752672,0.260889178302514,0.6178560556877843,0.40625,170.13640044662932
wisexscos,z_0_0p1,128,-0.1566987220296361,-0.00029085498837687525,0.2492148849562653,-0.6276024285977431,0.3828125,99.6389309805478
wisexscos,z_0p1_0p2,128,0.16885186890976714,-0.023433442672923032,0.24613189328587443,0.7812287510394146,0.4453125,170.68883738341856
wisexscos,z_0_0p2,128,0.11291744862049931,-0.026212235146791038,0.23836013303847742,0.58369527652861,0.34375,152.20419360949276
wisexscos,z_0p2_0p3,128,0.22322409383476924,-0.01350508029305824,0.24468276901352057,0.9674942583094047,0.59375,218.92827208969908
